,0
156,0.05246603177902705
157,0.05342116436013086
158,0.054188629390087874
159,0.054942955184774246
160,0.055571932535718245
161,0.056126085179604365
162,0.05645693349114862
163,0.05677579146716768
164,0.056869339758561906
165,0.05691743339820911
166,0.056835415882441884
167,0.05675252102505087
168,0.056538400927643784
169,0.056257533236540765
170,0.0559749526403627
171,0.05570049789874788
172,0.05542437203023061
173,0.05530137012718043
174,0.05524336113457862
175,0.055161461990300316
176,0.05531073540086298
177,0.05549336171918737
178,0.055909249500980786
179,0.05632639062795106
180,0.05684505271424611
181,0.05733189375910669
182,0.05798807566341705
183,0.05868011716584282
184,0.05937452609804707
185,0.05990244901259325
186,0.06033052209471715
187,0.060725938571955386
188,0.06105450997309504
189,0.06131581851641048
190,0.0612706145336988
191,0.06115633730568524
192,0.06069850423863992
193,0.06021427432956444
194,0.059521195335853413
195,0.05874554178407433
196,0.05762090123083048
197,0.05659506605569489
198,0.05521995700230961
199,0.05401468039820458
200,0.05252769636172805
201,0.051074448895897885
202,0.0495454913042727
203,0.048033081907538605
204,0.046444079194441545
205,0.04488355526897399
206,0.04345741779857964
207,0.04191938445600776
208,0.04051643387138512
209,0.03910763434260385
210,0.03783503165637346
211,0.03649323345405618
212,0.035433665746830864
213,0.034264876666774836
214,0.03316284102935892
215,0.03198475338143584
216,0.031019571200182908
217,0.029904251914279863
218,0.028781572149934927
219,0.028013547292465593
220,0.02708991406086749
221,0.02614989626555417
222,0.025278982074348123
223,0.02445340987308378
224,0.02362449541801451
225,0.022755682808148894
226,0.022029890809019226
227,0.021301174337810255
228,0.020643062978230424
229,0.0198843997736687
230,0.019122941887883757
231,0.018382575573255976
232,0.017750414725562793
233,0.017078634244223678
234,0.016404207811955646
235,0.015777127886348833
236,0.015147588897505043
237,0.014540194429027542
238,0.014042815814962311
239,0.01355632306080031
240,0.013030327930396695
241,0.012527078369001956
242,0.01194639992779301
243,0.011376650935047333
244,0.01091813159188742
245,0.01049579799511003
246,0.01003382276151582
247,0.009595146518456348
248,0.009154799148494415
249,0.008764081323063609
250,0.00839707845950568
251,0.0080286829901957
252,0.007620458996376976
253,0.007210703136230988
254,0.00683799058908964
255,0.006541175055435241
256,0.006243245437179196
257,0.005982985804516214
258,0.005721751347826794
259,0.005420618736341026
260,0.005118372040253614
261,0.004893136442254794
262,0.004667065280804741
263,0.004400956703983133
264,0.004133873303135088
265,0.003944497303251658
266,0.003754425000492204
267,0.003603136767927454
268,0.003451291493061884
269,0.003259269542249553
270,0.003066551288561195
271,0.0029610038882255385
272,0.00286295399873779
273,0.002724884379971539
274,0.0025863153727826013
275,0.0024870441680503006
276,0.0023876526421810246
277,0.002344469748197305
278,0.0023011228052559935
279,0.002200846974734162
280,0.0021002110163648494
281,0.0020394273960626435
282,0.0019786652218890194
283,0.0019342447191734507
284,0.0018899041520280481
285,0.0018282922098245208
286,0.001766703384876478
287,0.0017457666714789464
288,0.0017245026957296817
289,0.0016454110446475218
290,0.0015660408724149514
291,0.0015445803999940724
292,0.001522790994094558
293,0.0014840725156307732
294,0.001445214776591783
295,0.0014062177769775875
296,0.0013670815167881871
297,0.0013285542430941603
298,0.0012903898824591178
299,0.001293798981340146
300,0.0012972122580384312
301,0.0012169341068555214
302,0.0011363816123394572
303,0.0011395289013390987
304,0.0011426803681559975
305,0.0011458360127901519
306,0.0011502617138701798
307,0.0011969613551595616
308,0.001079547978992378
309,0.0011364498500213076
310,0.0010312802636261835
311,0.0010984888098260653
312,0.000997758015005038
313,0.0010521449793063334
314,0.0011067040696785828
315,0.0011437067185952616
316,0.0011810811932477386
317,0.0011931375382855716
318,0.0012052267488191534
319,0.0012426060975917624
320,0.0012800999185571902
321,0.0013177082117154378
322,0.0013556908372998363
323,0.0013935284926254463
324,0.0014314806201438754
325,0.0014517914965164339
326,0.0014718984954068916
327,0.0014742497709586597
328,0.001476601046510428
329,0.0014789523220621963
330,0.0014813035976139642
331,0.0014657286948829913
332,0.001449832935786745
333,0.0014341439786446789
334,0.0014181333295738886
335,0.001402065026624963
336,0.0013862047789753942
337,0.001351658825865914
